round_id,hand_number,player_cards,dealer_cards,actions,bet_amount,final_result,blackjack,busted,strategy_used,bet_mode,true_count_prev_round,running_count_end,true_count_end,cards_remaining,decks_remaining
481,1,"5,8,8","Q,9","double,stand",20.0,win,False,False,random-dfs,fixed,-1.114,0.0,0.0,276,5.308
481,1,"5,8,8","Q,9","hit,stand",10.0,win,False,False,random-dfs,fixed,-1.114,0.0,0.0,276,5.308
481,1,"5,8","Q,9",stand,10.0,lose,False,False,random-dfs,fixed,-1.114,0.0,0.0,276,5.308
482,1,"8,9","3,4,A",stand,10.0,lose,False,False,random-dfs,fixed,-1.13,1.0,0.003,272,5.231
482,1,"8,9,A","3,4,J","hit,stand",10.0,win,False,False,random-dfs,fixed,-1.13,0.0,0.0,272,5.231
482,1,"8,9,A,J","3,4,5,5","hit,hit",10.0,lose,False,True,random-dfs,fixed,-1.13,2.0,0.006,272,5.231
482,1,"8,9,A","3,4,J","double,stand",20.0,win,False,False,random-dfs,fixed,-1.13,0.0,0.0,272,5.231
483,1,"A,J","5,5,7",stand,10.0,win,True,False,random-dfs,fixed,-0.765,0.0,0.0,268,5.154
484,1,"7,9","9,Q",stand,10.0,lose,False,False,random-dfs,fixed,-0.776,-1.0,-0.003,264,5.077
484,1,"7,9,8","9,Q","double,stand",20.0,lose,False,True,random-dfs,fixed,-0.776,-1.0,-0.003,264,5.077
484,1,"7,9,8","9,Q",hit,10.0,lose,False,True,random-dfs,fixed,-0.776,-1.0,-0.003,264,5.077
485,1,"8,9","2,3,K,2",stand,10.0,push,False,False,random-dfs,fixed,-0.985,2.0,0.006,260,5.0
485,1,"8,9,K","2,3,2,10","double,stand",20.0,lose,False,True,random-dfs,fixed,-0.985,1.0,0.003,260,5.0
485,1,"8,9,K","2,3,2,10",hit,10.0,lose,False,True,random-dfs,fixed,-0.985,1.0,0.003,260,5.0
486,1,"K,2,6","10,2,K","hit,stand",10.0,win,False,False,random-dfs,fixed,-0.6,0.0,0.0,256,4.923
486,1,"K,2,6,K","10,2,6","hit,hit",10.0,lose,False,True,random-dfs,fixed,-0.6,1.0,0.003,256,4.923
486,1,"K,2","10,2,6",stand,10.0,lose,False,False,random-dfs,fixed,-0.6,1.0,0.003,256,4.923
486,1,"K,2,6","10,2,K","double,stand",20.0,win,False,False,random-dfs,fixed,-0.6,0.0,0.0,256,4.923
487,1,"6,K,A","6,K,2","double,stand",20.0,lose,False,False,random-dfs,fixed,-0.609,0.0,0.0,252,4.846
487,1,"6,K,A","6,K,2","hit,stand",10.0,lose,False,False,random-dfs,fixed,-0.609,0.0,0.0,252,4.846
487,1,"6,K,A,2,A,7","6,K,A","hit,hit,hit,hit",10.0,lose,False,True,random-dfs,fixed,-0.609,-2.0,-0.006,252,4.846
487,1,"6,K,A,2,A","6,K,7","hit,hit,hit,stand",10.0,win,False,False,random-dfs,fixed,-0.609,-1.0,-0.003,252,4.846
487,1,"6,K,A,2","6,K,A","hit,hit,stand",10.0,win,False,False,random-dfs,fixed,-0.609,-1.0,-0.003,252,4.846
487,1,"6,K","6,K,A",stand,10.0,lose,False,False,random-dfs,fixed,-0.609,-1.0,-0.003,252,4.846
488,1,"A,2,A","A,7","double,stand",20.0,lose,False,False,random-dfs,fixed,-0.619,-2.0,-0.006,248,4.769
488,1,"A,2","A,7",stand,10.0,lose,False,False,random-dfs,fixed,-0.619,-1.0,-0.003,248,4.769
488,1,"A,2,A,7","A,7","hit,hit,stand",10.0,win,False,False,random-dfs,fixed,-0.619,-2.0,-0.006,248,4.769
488,1,"A,2,A","A,7","hit,stand",10.0,lose,False,False,random-dfs,fixed,-0.619,-2.0,-0.006,248,4.769
489,1,"A,7","8,K",stand,10.0,push,False,False,random-dfs,fixed,-0.839,-2.0,-0.006,244,4.692
489,1,"A,7,9","8,K","double,stand",20.0,lose,False,False,random-dfs,fixed,-0.839,-2.0,-0.006,244,4.692
489,1,"A,7,9","8,K","hit,stand",10.0,lose,False,False,random-dfs,fixed,-0.839,-2.0,-0.006,244,4.692
489,1,"A,7,9,J","8,K","hit,hit",10.0,lose,False,True,random-dfs,fixed,-0.839,-3.0,-0.01,244,4.692
490,1,"9,J,2","4,6,K","double,stand",20.0,win,False,False,random-dfs,fixed,-1.279,1.0,0.003,240,4.615
490,1,"9,J,2","4,6,K","hit,stand",10.0,win,False,False,random-dfs,fixed,-1.279,1.0,0.003,240,4.615
490,1,"9,J","4,6,2,K",stand,10.0,win,False,False,random-dfs,fixed,-1.279,1.0,0.003,240,4.615
491,1,"2,K,7","8,Q","double,stand",20.0,win,False,False,random-dfs,fixed,-1.083,-1.0,-0.003,236,4.538
491,1,"2,K","8,Q",stand,10.0,lose,False,False,random-dfs,fixed,-1.083,-1.0,-0.003,236,4.538
491,1,"2,K,7,A","8,Q","hit,hit,stand",10.0,win,False,False,random-dfs,fixed,-1.083,-2.0,-0.006,236,4.538
